"mnemonic"|"args"|"shortdescription"|"description"|"type"|"group"|"subdivision"|"family"|"subfamily"|"coding"|"operation"|"flags"|"notes"|"assemblertranslationsandvalidations"|"cpuvalidations"
"j"|"LABEL"|"Jump"|"Jump to $PC \enspace + \enspace 1 \enspace + \enspace displacement$"|"0"|"A"|"0"|"Control"|"0"|"00 00 dddddddddddddddddddddddddddd"|"$pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{26})$ \\"|"None \\"|"Label is translated to displacement from PC."|"DIS range: -33554432:33554431"|"dst range: 0:31"
"trap"||"Trap"|"Generate software exception"|"0"|"B"|"0"|"Control"|"1"|"00 01 uuuuuuuuuuuuuuuuuuuuuuuuuuuu"|"$cr[31]  \longleftarrow_{1} 1$ \\"|"$cr[31]$ \\"|"Trap will be detected in next fetch step. Being the lowest priority exception cannot be used inside a handler."|"None."|"None."
"rfe"||"Return from exception"|"Return from exception to user mode"|"0"|"B"|"1"|"Control"|"1"|"00 10 uuuuuuuuuuuuuuuuuuuuuuuuuuuu"|"$esp \longleftarrow_{5} esp - 1 $ \\ $pc \longleftarrow_{30} l_{esp}[29:0]$ \\ $cfg[0] \longleftarrow_{1} 0$ \\"|"$cfg[0]$ \\"|"None."|"None."|"None."
"jr"|"rsrc"|"Jump register"|"Jump to address stored in GPR"|"1"|"A"|"0"|"Control"|"0"|"01 0000 r\_src ddddddddddddddddddddd"|"$pc \longleftarrow_{30} r_{src}[31:2]$ \\"|"None \\"|"The two LSB's of $r_{src}$ are discarded. These bits should be zero, but no checking is done."|"None."|"src range: 0:31"
"jal"|"rsrc,DIS"|"Jump and link"|"Jump to $PC \enspace + \enspace 1 \enspace + \enspace displacement$ and link in GPR"|"1"|"B"|"0"|"Control"|"0"|"01 0001 uuuuu r\_dst dddddddddddddddd "|"$pc \longleftarrow_{30} pc + 1 + sx_{30}(dis21)$ \\ $r_{src}  \longleftarrow_{32} (pc + 1)\#0b00$ \\"|"None \\"|"None."|"None."|"src range: 0:31"
"bc"|"rsrc,DIS"|"Branch if carry GPR"|"Branch if carry in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0000 ddddddddddddddddd"|"if $(r_{src}.c == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bv"|"rsrc,DIS"|"Branch if overflow GPR"|"Branch if overflow in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0001 ddddddddddddddddd"|"if $(r_{src}.v == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bz"|"rsrc,DIS"|"Branch if zero GPR"|"Branch if zero in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0010 ddddddddddddddddd"|"if $(r_{src}.z == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bn"|"rsrc,DIS"|"Branch if negative GPR"|"Branch if negative in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0011 ddddddddddddddddd"|"if $(r_{src}.n == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bnc"|"rsrc,DIS"|"Branch if not carry GPR"|"Branch if not carry in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0100 ddddddddddddddddd"|"if $(r_{src}.c == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bnv"|"rsrc,DIS"|"Branch if not overflow GPR"|"Branch if not overflow in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0101 ddddddddddddddddd"|"if $(r_{src}.v == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bnz"|"rsrc,DIS"|"Branch if not zero GPR"|"Branch if not zero in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0110 ddddddddddddddddd"|"if $(r_{src}.z == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bnn"|"rsrc,DIS"|"Branch if not negative GPR"|"Branch if not negative in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0111 ddddddddddddddddd"|"if $(r_{src}.n == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpan"|"fsrc,DIS"|"Branch if is a number FPR"|"Branch if is a number in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1000 ddddddddddddddddd"|"if $(f_{src}.a == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpinf"|"fsrc,DIS"|"Branch if is infinite FPR"|"Branch if is infinite in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1001 ddddddddddddddddd"|"if $(f_{src}.i == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpz"|"fsrc,DIS"|"Branch if zero FPR"|"Branch if zero in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1010 ddddddddddddddddd"|"if $(f_{src}.z == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpn"|"fsrc,DIS"|"Branch if negative FPR"|"Branch if negative in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1011 ddddddddddddddddd"|"if $(f_{src}.n == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpnan"|"fsrc,DIS"|"Branch if is not a number FPR"|"Branch if is not a number in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1100 ddddddddddddddddd"|"if $(f_{src}.a == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpninf"|"fsrc,DIS"|"Branch if is not infinite FPR"|"Branch if is not infinite in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1101 ddddddddddddddddd"|"if $(f_{src}.i == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpnz"|"fsrc,DIS"|"Branch if not zero FPR"|"Branch if not zero in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1110 ddddddddddddddddd"|"if $(f_{src}.z == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bfpnn"|"fsrc,DIS"|"Branch if negative FPR"|"Branch if not negative in tested FPR"|"1"|"C"|"1"|"Control"|"3"|"01 0010 r\_src 1111 ddddddddddddddddd"|"if $(f_{src}.n == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"loadi"|"rdst,IMM"|"Load immediate"|"Load immediate into GPR"|"1"|"D"|"0"|"Memory data transfer"|"0"|"01 0100 uuuuu r\_dst iiiiiiiiiiiiiiii"|"$r_{dst} \longleftarrow_{32} sx_{32}(imm_{16}[15:0])$ \\ $r_{dst}.n \longleftarrow_{1} r_{dst}[31]$ \\"|"$r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"IMM range: -32768:32767"|"dst range: 0:31"
"loadui"|"rdst,IMM"|"Load unsigned immediate"|"Load unsigned immediate into GPR"|"1"|"D"|"0"|"Memory data transfer"|"0"|"01 0101 uuuuu r\_dst iiiiiiiiiiiiiiii"|"$r_{dst} \longleftarrow_{32} x_{32}(imm_{16}[15:0])$ \\ $r_{dst}.n \longleftarrow_{1} r_{dst}[31]$ \\"|"$r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"IMM range: 0:65536"|"dst range: 0:31"
"lhi"|"rdst,IMM"|"Load high immediate"|"Load high immediate into GPR"|"1"|"D"|"0"|"Memory data transfer"|"0"|"01 0110 uuuuu r\_dst iiiiiiiiiiiiiiii"|"$r_{dst}[31:16] \longleftarrow_{16} imm_{16}[15:0]$ \\ $r_{dst}.n \longleftarrow_{1} r_{dst}[31]$ \\"|"$r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"IMM range: -32768:32767"|"dst range: 0:31"
"mov.w"|"rdst,rsrc"|"Move GPR into GPR"|"Move data from GPR into GPR"|"2"|"A"|"0"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00000 uuuuu"|"$r_{dst} \longleftarrow_{32} r_{src}$ \\ $(r_{dst}.c \# r_{dst}.v \# r_{dst}.z \# r_{dst}.n) \longleftarrow_{4} (r_{src}.c \# r_{src}.v \# r_{src}.z \# r_{src}.n)$ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"mov.l"|"rdst,rsrc"|"Move long GPR into long GPR"|"Move data from long GPR into long GPR"|"2"|"A"|"0"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 01 00000 uuuuu"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace (r_{dst+1} \# r_{dst})\longleftarrow_{64} (r_{src+1} \# r_{src})$ \\ $\enspace (r_{dst}.c \# r_{dst}.v \# r_{dst}.z \# r_{dst}.n) \longleftarrow_{4} (r_{src}.c \# r_{src}.v \# r_{src}.z \# r_{src}.n)$ \\ $\enspace (r_{dst+1}.c \# r_{dst+1}.v \# r_{dst+1}.z \# r_{dst+1}.n) \longleftarrow_{4} (r_{src+1}.c \# r_{src+1}.v \# r_{src+1}.z \# r_{src+1}.n)$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst\% 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.z$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"mov.f"|"fdst,fsrc"|"Move FPR into FPR"|"Move data from FPR into FPR"|"2"|"A"|"0"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 10 00000 uuuuu"|"$f_{dst} \longleftarrow_{32} f_{src}$ \\ $(f_{dst}.a \# f_{dst}.i \# f_{dst}.z \# f_{dst}.n) \longleftarrow_{4} (f_{src}.a \# f_{src}.i \# f_{src}.z \# f_{src}.n)$ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"mov.d"|"fdst,fsrc"|"Move double FPR into double FPR"|"Move data from double FPRinto double FPR"|"2"|"A"|"0"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 11 00000 uuuuu"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\  $\enspace f_{dst+1} \#  f_{dst}) \longleftarrow_{64} (f_{src+1} \# f_{src})$ \\ $\enspace (f_{dst}.a \# f_{dst}.i \# f_{dst}.z \# f_{dst}.n) \longleftarrow_{4} (f_{src}.a \# f_{src}.i \# f_{src}.z \# f_{src}.n)$ \\ $\enspace (f_{dst+1}.a \# f_{dst+1}.i \# f_{dst+1}.z \# f_{dst+1}.n) \longleftarrow_{4} (f_{src+1}.a \# f_{src+1}.i \# f_{src+1}.z \# f_{src+1}.n)$ \\ else \\ $\enspace [5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst\% 2 == '0' \enspace \& \enspace  src \enspace \% \enspace 2 == '0')$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $(f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n)$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"movf2w"|"rdst,fsrc"|"Move FPR into GPR"|"Move data from FPR into GPR"|"2"|"A"|"1"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00001 uuuuu"|"$r_{dst} \longleftarrow_{32} f_{src}$ \\ $(r_{dst}.c \# r_{dst}.v \# r_{dst}.z \# r_{dst}.n) \longleftarrow_{4} (f_{src}.a \# f_{src}.i \# f_{src}.z \# f_{src}.n)$ \\"|"$r_{dst}.c, r_{dst}.v , r_{dst}.z, r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"movw2f"|"fdst,rsrc"|"Move GPR into FPR"|"Move data from GPR into FPR"|"2"|"A"|"1"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 01 00001 uuuuu"|"$f_{dst} \longleftarrow_{32} r_{src}$ \\ $(f_{dst}.a \# f_{dst}.i \# f_{dst}.z \# f_{dst}.n) \longleftarrow_{4} (r_{src}.c \# r_{src}.v \# r_{src}.z \# r_{src}.n)$ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"movd2l"|"rdst,fsrc"|"Move double FPR into long GPR"|"Move data from double FPR into long GPR"|"2"|"A"|"1"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 10 00001 uuuuu"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace (r_{dst+1} \# r_{dst}) \longleftarrow_{64} (f_{src+1} \# f_{src})$ \\ $\enspace (r_{dst}.c \# r_{dst}.v \# r_{dst}.z \# r_{dst}.n) \longleftarrow_{4} (f_{src}.a \# f_{src}.i \# f_{src}.z \# f_{src}.n)$ \\ $\enspace (r_{dst+1}.c \# r_{dst+1}.v \# r_{dst+1}.z \# r_{dst+1}.n) \longleftarrow_{4} (f_{src+1}.a \# f_{src+1}.i \# f_{src+1}.z \# f_{src+1}.n)$ \\ else if $(dst \%2 == '1')$ then \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst\% 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else if $(dst\%2 == '1')$ then \\ $\enspace cr[4]$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"movl2d"|"fdst,rsrc"|"Move long GPR into double FPR"|"Move data from long GPR into double FPR"|"2"|"A"|"1"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 11 00001 uuuuu"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace (f_{dst+1} \# f_{dst}) \longleftarrow_{64} (r_{src+1} \# r_{src})$ \\ $\enspace (f_{dst}.c \# f_{dst}.v \# f_{dst}.z \# f_{dst}.n) \longleftarrow_{4} (r_{src}.a \# r_{src}.i \# r_{src}.z \# r_{src}.n)$ \\ $\enspace (f_{dst+1}.c \# f_{dst+1}.v \# f_{dst+1}.z \# f_{dst+1}.n) \longleftarrow_{4} (r_{src+1}.a \# r_{src+1}.i \# r_{src+1}.z \# r_{src+1}.n)$ \\ else if $(dst \%2 == '1')$ then \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst\% 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $(f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n)$ \\ else if $(dst\%2 == '1')$ then \\ $\enspace cr[5]$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"movw2s"|"sdst,rsrc"|"Move GPR into SPR"|"Move data from GPR into SPR"|"2"|"A"|"2"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00010 uuuuu"|"$s_{dst} \longleftarrow_{32} r_{src}$ \\"|"None \\"|"As not all SPR's are exactly 32 bits wide, exceeding bits from \texttt{rsrc} are discarded."|"None."|"dst range: 0:8; src range: 0:31"
"movs2w"|"rdst,ssrc"|"Move SPR into GPR"|"Move data from SPR into GPR"|"2"|"A"|"2"|"Register data transfer"|"0"|"10 0000 r\_src r\_dst uuuuu 01 00010 uuuuu"|"$r_{dst} \longleftarrow_{32} s_{src}$ \\ $r_{dst}.c \longleftarrow_{1} 0$ \\ $r_{dst}.v \longleftarrow_{1} 0$ \\ $r_{dst}.z \longleftarrow_{1} r_{dst}[31] \enspace | \enspace r_{dst}[30] \enspace | \enspace \hdots \enspace | \enspace r_{dst}[0]$ \\ $r_{dst}.n \longleftarrow_{1} r_{dst}[31]$ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"As not all SPR's are exactly 32 bits wide, exceeding bits from \texttt{rdst} are zeroed."|"None."|"dst range: 0:31; src range: 0:8"
"cnvf2d"|"fdst,fsrc"|"Convert FPR to double FPR"|"Convert data from FPR to data in double FPR"|"2"|"A"|"3"|"Data type conversion"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00011 uuuuu"|"if $(dst\% 2 == '0')$ then \\ $\enspace (f_{dst+1} \# f_{dst})\longleftarrow_{64} double(f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cnv_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cnv_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cnv_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cnv_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cnv_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cnv_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cnv_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cnv_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst\% 2 == '0')$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31"
"cnvd2f"|"fdst,fsrc"|"Convert double FPR to FPR"|"Convert data from double FPR to data in FPR"|"2"|"A"|"3"|"Data type conversion"|"0"|"10 0000 r\_src r\_dst uuuuu 01 00011 uuuuu"|"if $(src \enspace \% \enspace 2 == '0')$ then \\ $\enspace f{x} \longleftarrow_{32} float(f_{src+1} \# f_{src})$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cnv_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cnv_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cnv_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cnv_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == '0')$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31 and even"
"cnvf2w"|"rdst,fsrc"|"Convert FPR to GPR"|"Convert data from FPR to data in GPR"|"2"|"A"|"4"|"Data type conversion"|"0"|"10 0000 r\_src r\_dst uuuuu 10 00011 uuuuu"|"$r_{dst} \longleftarrow_{32} integer(f_{src})$\\ $r_{dst}.c \longleftarrow_{1} cnv_{0}.c$ \\ $r_{dst}.v \longleftarrow_{1} cnv_{0}.v$ \\ $r_{dst}.z \longleftarrow_{1} cnv_{0}.z$ \\ $r_{dst}.n \longleftarrow_{1} cnv_{0}.n$ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
